연도,나이(성별),1회,2회,3회,4회,5회,6회,7회 이상
2022,20대(남),19129,2613,465,89,36,4,3
2022,20대(여),2545,157,18,3,0,0,0
2022,30대(남),17467,6410,2318,764,268,87,52
2022,30대(여),3093,505,98,30,10,3,0
2022,40대(남),11704,7661,4219,2037,895,316,246
2022,40대(여),3308,982,263,99,30,6,2
2022,50대(남),9156,6648,3913,2173,1018,516,431
2022,50대(여),1808,683,258,94,30,5,4
2022,60대(남),4304,3015,1868,1010,471,264,214
2022,60대(여),456,189,87,42,12,2,4
2022,70대 이상(남),1068,516,284,126,65,33,22
2022,70대 이상(여),33,6,1,1,1,0,0
2022,불상,1174,291,38,5,2,2,5
