연도,나이(성별),1회,2회,3회,4회,5회,6회,7회 이상
2021,20대(남),15218,2674,557,112,22,6,4
2021,20대(여),1951,142,14,3,1,0,0
2021,30대(남),14070,6073,2215,880,279,82,49
2021,30대(여),2602,522,113,25,4,2,1
2021,40대(남),9783,6925,4028,1869,809,351,264
2021,40대(여),2870,877,270,105,18,6,3
2021,50대(남),7894,6119,3808,2041,979,461,408
2021,50대(여),1517,618,258,80,27,6,4
2021,60대(남),3656,2613,1682,903,434,255,218
2021,60대(여),331,161,62,25,7,0,1
2021,70대 이상(남),800,473,247,100,54,17,22
2021,70대 이상(여),15,3,2,2,0,0,0
2021,불상,3593,155,22,5,2,0,3
